,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label,difficulty
35999,0,udp,private,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,0.0,0.0,0.0,0.0,0.64,0.09,0.0,255,21,0.08,0.18,1.0,0.0,0.0,0.0,0.0,0.0,satan,19
36015,0,tcp,ftp_data,SF,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,106,0.42,0.02,0.42,0.0,0.0,0.0,0.0,0.0,normal,20
36019,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,18,1.0,1.0,0.0,0.0,0.16,0.05,0.0,255,19,0.07,0.06,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
36043,0,tcp,finger,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1.0,1.0,0.0,0.0,0.14,0.57,0.0,87,27,0.24,0.05,0.03,0.07,1.0,0.78,0.0,0.0,neptune,18
36055,0,tcp,http,SF,281,1903,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0.0,0.0,0.0,0.0,1.0,0.0,0.5,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
36064,0,tcp,daytime,RSTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,8,0.0,0.0,1.0,1.0,0.03,0.06,0.0,255,8,0.03,0.07,0.0,0.0,0.0,0.0,1.0,1.0,neptune,19
36066,0,udp,domain_u,SF,45,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,148,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal,18
36067,0,icmp,eco_i,SF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,122,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,ipsweep,15
36074,10,udp,private,SF,105,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,245,0.96,0.01,0.02,0.0,0.0,0.0,0.0,0.0,normal,21
36088,0,tcp,http,SF,312,353,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14,254,1.0,0.0,0.07,0.08,0.0,0.0,0.0,0.0,normal,21
36090,0,tcp,http,SF,249,272,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,252,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
36104,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,39,2,0.03,1.0,0.03,1.0,0.0,0.0,0.97,1.0,ipsweep,16
36113,0,tcp,ftp_data,SF,495,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,147,75,0.51,0.03,0.51,0.0,0.0,0.0,0.0,0.0,normal,21
36121,0,icmp,eco_i,SF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,219,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,ipsweep,15
36141,0,tcp,http,SF,196,2168,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12,255,1.0,0.0,0.08,0.04,0.0,0.0,0.0,0.0,normal,21
36146,249,udp,other,SF,145,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,4,0.02,0.6,0.92,0.0,0.0,0.0,0.0,0.0,normal,21
36171,0,tcp,http,SF,212,124,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,7,0.0,0.0,0.2,0.14,1.0,0.0,0.29,43,255,1.0,0.0,0.02,0.02,0.0,0.0,0.02,0.01,normal,21
36174,0,udp,domain_u,SF,43,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,146,0.0,0.0,0.0,0.0,1.0,0.0,0.01,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,20
36179,0,tcp,domain,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,1,1.0,1.0,0.0,0.0,0.0,0.06,0.0,255,1,0.0,0.07,0.0,0.0,1.0,1.0,0.0,0.0,neptune,18
36180,0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,162,0.64,0.02,0.64,0.0,0.0,0.0,0.02,0.0,smurf,18
36183,0,tcp,smtp,SF,6469,491,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,133,244,0.95,0.02,0.01,0.01,0.0,0.0,0.0,0.0,normal,21
36197,0,tcp,ctf,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,6,0.0,0.0,1.0,1.0,0.02,0.07,0.0,255,6,0.02,0.07,0.0,0.0,0.0,0.0,1.0,1.0,neptune,20
36198,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,7,0.0,0.0,1.0,1.0,0.04,0.07,0.0,255,7,0.03,0.07,0.0,0.0,0.0,0.0,1.0,1.0,neptune,21
36203,0,tcp,http,SF,202,1792,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,0.06,0.06,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
36204,0,tcp,nnsp,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,20,1.0,1.0,0.0,0.0,0.19,0.07,0.0,255,20,0.08,0.06,0.0,0.0,1.0,1.0,0.0,0.0,neptune,20
36207,0,udp,domain_u,SF,45,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,184,0.0,0.0,0.0,0.0,1.0,0.0,0.02,174,196,0.77,0.02,0.67,0.01,0.0,0.0,0.08,0.0,normal,20
36224,0,tcp,http,SF,365,295,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,9,0.0,0.0,0.0,0.0,1.0,0.0,0.22,9,247,1.0,0.0,0.11,0.12,0.0,0.0,0.0,0.72,normal,21
36229,0,tcp,http,SF,311,1151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55,55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,148,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,normal,21
36239,0,tcp,ftp_data,SF,501760,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,107,76,0.33,0.04,0.33,0.03,0.0,0.0,0.0,0.0,normal,20
36248,0,tcp,ftp_data,SF,3775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27,92,1.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,normal,20
36250,0,tcp,courier,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,4,1.0,1.0,0.0,0.0,0.04,0.07,0.0,255,4,0.02,0.05,0.0,0.0,1.0,1.0,0.0,0.0,neptune,20
36251,20,tcp,ftp,SF,229,770,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,118,21,0.18,0.02,0.01,0.0,0.0,0.0,0.0,0.0,normal,21
36253,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,9,1.0,1.0,0.0,0.0,0.07,0.07,0.0,255,4,0.02,0.08,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
36271,0,tcp,netbios_ssn,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,12,0.0,0.0,1.0,1.0,0.08,0.07,0.0,255,12,0.05,0.07,0.0,0.0,0.0,0.0,1.0,1.0,neptune,20
36276,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,3,1.0,1.0,0.0,0.0,0.02,0.07,0.0,255,20,0.08,0.06,0.0,0.0,1.0,1.0,0.0,0.0,neptune,19
36278,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,17,1,0.06,1.0,0.06,0.0,0.0,0.0,0.94,1.0,ipsweep,17
36305,0,udp,private,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0.0,0.0,0.0,0.0,0.1,0.19,0.0,255,46,0.18,0.22,1.0,0.0,0.0,0.0,0.0,0.0,satan,18
36309,0,udp,domain_u,SF,45,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,0.0,0.0,0.0,0.0,1.0,0.0,0.06,56,8,0.14,0.05,0.02,0.0,0.0,0.0,0.0,0.0,normal,21
36344,0,tcp,http,SF,217,337,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
36348,0,tcp,http,SF,288,4993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,255,1.0,0.0,0.25,0.04,0.0,0.0,0.0,0.0,normal,21
36349,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,4,1.0,1.0,0.0,0.0,0.04,0.06,0.0,255,17,0.07,0.06,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
36361,0,tcp,other,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,1,0.21,0.0,0.78,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.23,0.0,0.77,1.0,satan,20
36366,0,tcp,http,SF,221,2574,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,23,0.0,0.0,0.0,0.0,1.0,0.0,0.09,30,255,1.0,0.0,0.03,0.01,0.0,0.0,0.07,0.01,normal,21
36377,0,icmp,eco_i,SF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,255,6,0.02,0.01,0.02,0.0,0.0,0.0,0.0,0.0,normal,19
36390,0,udp,domain_u,SF,44,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,142,0.0,0.0,0.0,0.0,1.0,0.0,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal,20
36402,0,udp,domain_u,SF,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,96,44,0.21,0.07,0.21,0.05,0.0,0.0,0.0,0.0,normal,21
36409,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,9,1.0,1.0,0.0,0.0,0.05,0.07,0.0,255,24,0.09,0.07,0.0,0.0,1.0,1.0,0.0,0.0,neptune,19
36419,0,tcp,ldap,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,1,1.0,1.0,0.0,0.0,0.01,0.06,0.0,255,19,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0.0,neptune,18
36421,0,udp,domain_u,SF,45,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,273,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,242,0.95,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal,18
36426,0,tcp,auth,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,6,1.0,1.0,0.0,0.0,0.02,0.06,0.0,255,17,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0.0,neptune,18
36445,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,4,1.0,1.0,0.0,0.0,0.04,0.07,0.0,255,7,0.03,0.06,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
36447,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,14,1.0,1.0,0.0,0.0,0.06,0.06,0.0,255,7,0.03,0.08,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
36452,40315,tcp,sunrpc,RSTR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,2,0.01,0.44,0.87,0.0,0.0,0.0,0.87,1.0,portsweep,15
36458,0,tcp,smtp,SF,1111,328,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35,181,0.69,0.06,0.03,0.01,0.0,0.0,0.0,0.0,normal,21
36470,0,tcp,auth,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,13,1.0,1.0,0.0,0.0,0.04,0.06,0.0,255,13,0.05,0.07,0.0,0.0,1.0,1.0,0.0,0.0,neptune,19
36475,0,tcp,domain,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,23,1.0,1.0,0.0,0.0,0.08,0.04,0.0,255,23,0.09,0.05,0.0,0.0,1.0,1.0,0.0,0.0,neptune,20
36481,0,icmp,eco_i,SF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,255,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,ipsweep,18
36485,0,tcp,http,SF,228,14408,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19,255,1.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0,normal,21
36487,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,19,1.0,1.0,0.0,0.0,0.18,0.06,0.0,255,17,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
36488,0,icmp,red_i,SF,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,134,9,0.07,0.02,0.07,0.0,0.0,0.0,0.1,0.0,normal,19
36504,0,tcp,telnet,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,18,1.0,1.0,0.0,0.0,0.06,0.06,0.0,255,18,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0.0,neptune,20
36506,0,tcp,smtp,SF,2649,403,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,153,63,0.41,0.03,0.01,0.0,0.01,0.0,0.01,0.0,normal,21
36511,0,tcp,http,SF,269,2232,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,22,0.0,0.0,0.0,0.0,1.0,0.0,0.18,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
36525,0,tcp,http,SF,310,2698,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,243,0.95,0.01,0.0,0.0,0.0,0.0,0.01,0.01,normal,21
36526,0,tcp,http,SF,304,1494,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,20,0.0,0.0,0.0,0.0,1.0,0.0,0.3,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
36527,0,tcp,ftp_data,SF,2191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,68,1.0,0.0,1.0,0.04,0.0,0.0,0.0,0.0,normal,12
36537,0,udp,domain_u,SF,43,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,89,0.0,0.0,0.0,0.0,1.0,0.0,0.02,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
36548,0,udp,domain_u,SF,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,155,0.0,0.0,0.0,0.0,1.0,0.0,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal,19
36549,0,tcp,csnet_ns,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,7,1.0,1.0,0.0,0.0,0.03,0.06,0.0,255,7,0.03,0.06,0.0,0.0,1.0,1.0,0.0,0.0,neptune,20
36550,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,1.0,1.0,0.5,1.0,0.0,255,1,0.0,0.33,0.27,0.0,0.25,0.0,0.28,1.0,portsweep,20
36555,0,tcp,http,SF,233,294,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,236,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,normal,21
36567,0,tcp,http,SF,283,9961,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,8,0.0,0.0,0.0,0.0,1.0,0.0,0.25,79,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,normal,21
36588,0,udp,domain_u,SF,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0.0,0.0,0.0,0.0,1.0,0.0,0.27,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
36598,0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,510,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,196,0.77,0.02,0.77,0.0,0.0,0.0,0.02,0.0,smurf,19
36606,0,tcp,ftp_data,SF,15876,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,12,0.0,0.0,0.0,0.0,0.92,0.15,0.0,255,26,0.1,0.03,0.1,0.0,0.0,0.0,0.0,0.0,normal,21
36612,0,udp,domain_u,SF,44,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,252,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal,18
36619,18,tcp,smtp,SF,765,334,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.67,170,132,0.78,0.02,0.01,0.0,0.0,0.0,0.0,0.0,normal,21
36630,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,6,1.0,1.0,0.0,0.0,0.18,0.12,0.0,255,6,0.02,0.08,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
36631,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,1,1.0,1.0,0.0,0.0,0.0,0.06,0.0,255,20,0.08,0.06,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
36633,1,tcp,smtp,SF,1084,321,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,129,142,0.3,0.05,0.01,0.01,0.02,0.0,0.0,0.0,normal,21
36636,0,tcp,ftp_data,SF,192,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,240,63,0.22,0.02,0.22,0.03,0.0,0.0,0.03,0.0,normal,18
36653,0,tcp,http,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,14,22,1.0,0.0,0.07,0.09,0.0,0.09,1.0,0.68,normal,20
36655,0,tcp,smtp,SF,1332,327,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,89,191,0.97,0.02,0.01,0.01,0.0,0.0,0.0,0.0,normal,21
36675,0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,222,0.87,0.01,0.87,0.0,0.0,0.0,0.02,0.0,smurf,18
36691,0,tcp,http,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2,21,1.0,0.0,0.5,0.24,0.0,0.0,1.0,1.0,normal,21
36699,0,icmp,eco_i,SF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,44,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,ipsweep,15
36734,0,tcp,Z39_50,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,14,1.0,1.0,0.0,0.0,0.06,0.05,0.0,255,14,0.05,0.05,0.0,0.0,1.0,1.0,0.0,0.0,neptune,20
36746,0,tcp,time,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,8,1.0,1.0,0.0,0.0,0.03,0.05,0.0,255,8,0.03,0.05,0.0,0.0,1.0,1.0,0.0,0.0,neptune,20
36750,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,16,1.0,1.0,0.0,0.0,0.06,0.07,0.0,255,16,0.06,0.08,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
36752,0,tcp,ftp_data,SF,175337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,29,0.11,0.02,0.11,0.0,0.0,0.0,0.0,0.0,normal,19
36765,0,tcp,smtp,SF,0,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,1,0.17,1.0,0.17,0.0,0.0,0.0,0.83,0.0,ipsweep,2
36766,4,tcp,telnet,SF,100,2678,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,1,0.14,0.29,0.14,0.0,0.0,0.0,0.0,0.0,normal,20
36803,0,tcp,daytime,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,8,1.0,1.0,0.0,0.0,0.07,0.07,0.0,255,6,0.02,0.07,0.0,0.0,1.0,1.0,0.0,0.0,neptune,19
36805,0,tcp,domain,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,1,1.0,1.0,0.0,0.0,0.0,0.07,0.0,255,1,0.0,0.08,0.0,0.0,1.0,1.0,0.0,0.0,neptune,19
36808,0,icmp,ecr_i,SF,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,106,0.42,0.19,0.42,0.0,0.0,0.0,0.0,0.0,smurf,18
36822,0,tcp,http,SF,274,10063,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,13,0.0,0.0,0.0,0.0,1.0,0.0,0.15,135,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,normal,21
36837,0,tcp,http,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,28,255,1.0,0.0,0.04,0.08,0.0,0.0,1.0,0.89,normal,21
36841,0,udp,domain_u,SF,45,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,309,0.0,0.0,0.0,0.0,1.0,0.01,0.01,234,195,0.83,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal,18
36844,0,tcp,http,SF,224,2007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,231,255,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,normal,21
36846,0,tcp,http,SF,214,891,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.2,107,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,normal,21
36849,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,19,1.0,1.0,0.0,0.0,0.09,0.06,0.0,255,20,0.08,0.06,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
36856,0,tcp,http,SF,257,770,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
36858,0,tcp,http,SF,291,910,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26,255,1.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,normal,21
36870,0,udp,private,SF,105,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,144,142,0.99,0.01,0.01,0.0,0.0,0.0,0.0,0.0,normal,20
36879,0,tcp,smtp,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,1.0,0.75,0.0,0.0,1.0,0.0,0.38,148,131,0.45,0.01,0.01,0.02,0.99,0.5,0.0,0.0,neptune,18
36895,0,tcp,smtp,SF,1254,335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,255,32,0.13,0.47,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
36897,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,1,0.02,0.0,0.97,1.0,0.0,1.0,0.0,255,1,0.0,1.0,0.0,0.0,0.0,0.0,0.98,1.0,satan,20
36905,0,tcp,http,SF,335,1211,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
36906,0,tcp,http,SF,286,7669,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0.0,0.0,0.25,0.25,1.0,0.0,0.0,16,255,1.0,0.0,0.06,0.03,0.0,0.01,0.06,0.0,normal,21
